time,avg,setvalue
2022-12-11 15:24:42,32.6,28.0
2022-12-11 15:54:42,32.4,28.0
2022-12-11 16:24:42,32.5,28.0
2022-12-11 16:54:42,32.1,28.0
2022-12-11 17:24:42,31.9,28.0
2022-12-11 17:54:42,31.2,28.0
2022-12-11 18:24:42,29.6,28.0
2022-12-11 18:54:42,27.9,28.0
2022-12-11 19:24:42,28.1,28.0
2022-12-11 19:54:42,27.9,28.0
2022-12-11 20:24:42,28.1,28.0
2022-12-11 20:54:42,28.1,28.0
2022-12-11 21:24:42,28.0,28.0
2022-12-11 21:54:42,27.9,28.0
2022-12-11 22:24:42,27.8,28.0
2022-12-11 22:54:42,27.7,28.0
2022-12-11 23:24:42,27.6,28.0
2022-12-11 23:54:42,27.5,28.0
2022-12-12 00:24:42,27.4,28.0
2022-12-12 00:54:42,27.3,28.0
2022-12-12 01:24:42,27.2,28.0
2022-12-12 01:54:42,27.1,28.0
2022-12-12 02:24:42,27.0,28.0
2022-12-12 02:54:42,26.9,28.0
2022-12-12 03:24:42,26.8,28.0
2022-12-12 03:54:42,26.7,28.0
2022-12-12 04:24:42,26.6,28.0
2022-12-12 04:54:42,26.5,28.0
2022-12-12 05:24:42,26.4,28.0
2022-12-12 05:54:42,26.4,28.0
2022-12-12 06:24:42,26.3,28.0
2022-12-12 06:54:42,26.2,28.0
2022-12-12 07:24:42,26.1,28.0
2022-12-12 07:54:42,26.1,28.0
2022-12-12 08:24:42,26.3,28.0
2022-12-12 08:54:42,26.6,28.0
2022-12-12 09:24:42,26.9,28.0
2022-12-12 09:54:42,27.3,28.0
2022-12-12 10:24:42,28.0,28.0
2022-12-12 10:54:42,30.2,28.0
2022-12-12 11:24:42,31.1,28.0
2022-12-12 11:54:42,31.5,28.0
2022-12-12 12:24:42,32.2,28.0
2022-12-12 12:54:42,31.6,28.0
2022-12-12 13:24:42,32.6,28.0
2022-12-12 13:54:42,32.3,28.0
2022-12-12 14:24:42,33.0,28.0
2022-12-12 14:54:42,32.5,35.0
2022-12-12 15:24:42,32.1,35.0
2022-12-12 15:54:42,32.1,35.0
2022-12-12 16:24:42,31.9,35.0
2022-12-12 16:54:42,31.4,32.0
2022-12-12 17:24:42,31.7,32.0
2022-12-12 17:54:42,32.9,32.0
2022-12-12 18:24:42,33.1,32.0
2022-12-12 18:54:42,32.8,32.0
2022-12-12 19:24:42,32.5,32.0
